,CreditGrade,LoanStatus,ProsperScore,EmploymentStatus,StatedMonthlyIncome,MonthlyLoanPayment,LoanOriginalAmount,DebtToIncomeRatio,EstimatedLoss
103553,C,Completed,,Full-time,4500.0,60.95,1800,0.23,
103554,A,Completed,,,16666.666666999998,162.42,5000,0.19946,
103555,,Completed,9.0,Employed,7500.0,0.0,3000,0.08,0.0224
103558,,Completed,6.0,Employed,4750.0,336.52,7500,0.31,0.142
103564,,Completed,9.0,Full-time,2208.333333,140.33,4400,0.13,0.021
103570,D,Chargedoff,,Full-time,2947.0,296.74,8500,0.37,
103571,,Completed,9.0,Employed,7500.0,201.52,6400,0.18,0.035
103572,A,Completed,,,0.083333,96.8,3000,0.046110000000000005,
103573,,Completed,10.0,Employed,11333.333333,565.05,15000,0.18,0.0849
103575,AA,Completed,,Part-time,1166.666667,93.32,3000,0.11,
103576,,Completed,3.0,Employed,2333.333333,108.82,3000,0.23,0.0674
103577,,Completed,,Full-time,3333.333333,70.31,2000,0.3,
103578,B,Completed,,Self-employed,4166.666667,544.17,15000,0.62,
103579,,Chargedoff,5.0,Employed,3250.75,305.66,7000,0.25,0.142
103583,E,Completed,,Full-time,5000.0,43.55,1000,0.27,
103584,,Chargedoff,7.0,Employed,4078.583333,302.14,7500,0.29,0.108
103586,,Completed,9.0,Full-time,5666.666667,173.27,2000,0.07,0.02
103589,,Completed,8.0,Employed,4166.666667,180.88,5300,0.19,0.038
103591,,Completed,8.0,Full-time,2666.666667,133.67,3500,0.28,0.1
103594,C,Completed,,Full-time,3333.333333,197.86,6000,0.22,
103596,B,Chargedoff,,Full-time,3333.333333,162.82,5000,0.07,
103597,,Completed,9.0,Full-time,3750.0,86.42,3000,0.38,0.065
103598,D,Completed,,Full-time,1718.1666670000002,175.37,4500,0.38,
103599,,Completed,3.0,Employed,3750.0,77.67,2000,0.28,0.1025
103601,A,Completed,,Full-time,3033.333333,328.57,10000,0.14,
103602,D,Chargedoff,,Full-time,4906.333333,139.16,3500,0.03,
103603,,Chargedoff,3.0,Other,2000.0,136.98,4000,0.37,0.1475
103604,,Completed,8.0,Full-time,3333.333333,486.12,15000,0.27,0.015
103605,,Completed,5.0,Self-employed,3083.333333,173.71,4000,,0.165
103607,,Completed,7.0,Employed,3166.666667,102.05,2500,0.16,0.112
103608,,Chargedoff,3.0,Employed,3750.0,163.52,4000,0.5,0.1275
103609,AA,Completed,,Self-employed,833.333333,205.59,6000,,
103610,A,Chargedoff,,Full-time,0.083333,41.65,1275,10.01,
103611,,Completed,4.0,Employed,250.0,133.65,3500,0.72,0.1
103616,,Completed,8.0,Employed,8250.0,516.24,15000,0.1,0.0595
103617,,Completed,,Full-time,6208.333333,92.78,2500,0.2,
103620,,Completed,9.0,Full-time,3954.0,132.19,4200,0.14,0.015
103622,,Completed,10.0,Employed,2666.666667,275.8,9000,0.18,0.015
103624,,Completed,8.0,Employed,4025.0,325.36,14600,0.27,0.0174
103631,D,Completed,,Part-time,1000.0,501.38,16000,,
103632,AA,Completed,,Self-employed,6666.666667,650.83,20000,0.29,
103633,E,Completed,,Full-time,6933.333333,0.0,2000,0.09,
103634,,Completed,4.0,Full-time,6666.666667,110.93,4000,0.29,0.065
103637,,Completed,6.0,Employed,4208.333333,524.32,15000,0.31,0.0524
103638,,Completed,8.0,Full-time,2833.333333,101.23,2800,0.28,0.1
103642,,Chargedoff,4.0,Employed,6984.166667,301.49,10959,0.32,0.0624
103645,B,Completed,,Full-time,4091.666667,516.68,15000,0.14,
103646,A,Chargedoff,,Full-time,4166.666667,339.3,10000,0.4,
103648,,Completed,6.0,Employed,3666.666667,80.57,2000,0.08,0.108
103650,D,Chargedoff,,Full-time,10916.666667,131.18,2900,0.13,
103651,,Completed,7.0,Full-time,4416.666667,286.39,7500,0.26,0.098
103653,,Completed,8.0,Employed,3466.666667,104.22,3000,0.12,0.0595
103654,,Completed,8.0,Employed,3166.666667,341.15,9675,0.18,0.0595
103657,,Completed,6.0,Employed,4000.0,120.25,3000,0.45,0.112
103659,E,Completed,,Full-time,11666.666667,181.31,4500,0.18,
103662,,Completed,6.0,Employed,5958.333333,384.58,15000,0.45,0.042
103664,,Completed,10.0,Employed,6500.0,483.29,15500,0.22,0.0149
103665,,Completed,5.0,Employed,4240.0,259.68,10000,0.18,0.0849
103666,AA,Completed,,Self-employed,28333.333333,31.44,1000,,
103669,A,Completed,,Not available,3833.333333,32.98,1000,0.17,
103671,AA,Completed,,Full-time,3125.0,219.35,7000,0.24,
103673,C,Completed,,Not available,7500.0,102.17,3000,0.09,
103675,,Completed,8.0,Self-employed,8333.333333,166.52,5000,,0.05
103676,,Completed,2.0,Full-time,6666.666667,172.56,4000,0.26,0.17
103677,E,Chargedoff,,Full-time,2666.666667,248.8,5500,0.34,
103678,D,Chargedoff,,Not available,5000.0,238.56,6000,0.18,
103679,,Completed,10.0,Employed,5000.0,63.17,2000,0.14,0.015
103681,AA,Completed,,Full-time,8000.0,331.9,10000,0.2,
103682,D,Completed,,Not available,16666.666666999998,32.27,1000,0.14,
103683,,Completed,9.0,Employed,5416.666667,0.0,9000,0.27,0.035
103688,,Completed,6.0,Employed,3000.0,271.84,7000,0.33,0.1025
103691,,Completed,9.0,Employed,6833.333333,381.27,12007,0.11,0.035
103692,,Completed,6.0,Employed,7000.0,95.46,2500,0.14,0.0925
103693,,Completed,2.0,Self-employed,9166.666667,174.2,4000,,0.165
103696,HR,Completed,,Full-time,2116.666667,52.02,1150,0.25,
103697,D,Completed,,,3000.0,37.51,1150,0.19984000000000002,
103698,,Completed,2.0,Employed,3783.333333,127.7,2932,0.39,0.203
103699,HR,Chargedoff,,Full-time,6083.333333,141.02,3500,0.06,
103701,D,Chargedoff,,Full-time,5794.75,86.54,2500,0.24,
103704,AA,Completed,,Not available,6875.0,79.74,2526,0.0,
103708,AA,Completed,,Full-time,6250.0,188.96,6000,0.12,
103710,,Completed,9.0,Employed,6000.0,181.11,5500,0.31,0.038
103711,,Completed,5.0,Employed,4166.666667,129.82,3000,0.22,0.147
103713,,Completed,8.0,Other,2722.083333,65.96,2000,0.07,0.033
103714,,Completed,10.0,Full-time,8666.666667,57.2,1550,0.27,0.065
103715,B,Completed,,Full-time,4916.666667,294.65,9000,0.13,
103716,AA,Completed,,Full-time,3042.0,332.14,10000,0.35,
103717,,Completed,8.0,Employed,6000.0,1338.28,15000,0.28,0.0599
103719,A,Completed,,Full-time,4333.333333,30.99,1000,0.21,
103720,B,Chargedoff,,Self-employed,0.0,175.79,5000,,
103723,D,Chargedoff,,Full-time,3000.0,105.77,3000,0.34,
103725,,Completed,3.0,Employed,2833.333333,237.96,8600,0.46,0.0824
103727,,Completed,10.0,Employed,10000.0,30.29,1000,0.02,0.0155
103728,A,Completed,,Part-time,2083.333333,480.73,14000,0.45,
103729,,Chargedoff,7.0,Employed,4908.333333,604.28,15000,0.22,0.108
103732,,Completed,3.0,Employed,4166.666667,173.71,4000,0.23,0.165
103735,,Chargedoff,1.0,Employed,6.0833330000000005,326.62,7500,10.01,0.147
103736,,Completed,10.0,Full-time,4310.75,55.13,1700,0.25,0.021
103739,HR,Completed,,,6250.0,229.18,6001,0.07,
103741,,Completed,3.0,Employed,7950.0,578.46,15000,0.14,0.0975
103747,AA,Completed,,,2450.0,47.0,1500,0.05,
103748,HR,Completed,,Not available,2083.333333,67.5,3000,0.39,
103752,B,Chargedoff,,Full-time,5666.666667,144.59,4000,0.32,
103755,,Completed,7.0,Not employed,0.0,233.31,8000,,0.089
103762,A,Completed,,Full-time,4166.666667,195.86,6000,0.07,
103767,,Completed,8.0,Employed,2750.0,64.2,2000,0.53,0.02
103769,,Completed,4.0,Employed,3750.0,229.17,8000,0.18,0.1125
103774,AA,Chargedoff,,Full-time,3000.0,611.05,16000,0.44,
103775,,Chargedoff,4.0,Employed,3083.333333,173.71,4000,0.15,0.165
103777,,Completed,10.0,Employed,5000.0,279.91,9000,0.18,0.01
103781,,Completed,8.0,Employed,10000.0,542.21,15000,0.18,0.0595
103785,,Completed,5.0,Self-employed,5416.666667,326.62,7500,,0.147
103788,,Chargedoff,7.0,Employed,5500.0,486.38,13000,0.14,0.089
103790,,Completed,6.0,Self-employed,10000.0,187.07,5000,,0.089
103794,,Completed,5.0,Employed,3000.0,204.1,5000,0.08,0.112
103795,,Completed,6.0,Employed,6816.666667,218.33,5000,0.29,0.142
103798,,Chargedoff,2.0,Employed,3566.666667,95.81,2200,0.26,0.203
103800,D,Chargedoff,,Full-time,2916.666667,191.73,5000,0.16,
103801,,Completed,8.0,Employed,3750.0,277.23,8500,0.14,0.02
103806,D,Completed,,,6250.0,86.65,2300,0.24301,
103809,,Chargedoff,6.0,Self-employed,2029.1666670000002,190.93,5000,,0.0925
103812,D,Completed,,,8333.333333,52.18,1500,0.19,
103814,,Chargedoff,8.0,Not employed,0.0,58.65,1600,,0.05
103815,,Completed,8.0,Employed,5000.0,194.13,2200,,0.038
103816,,Completed,3.0,Employed,4166.666667,160.44,4000,0.17,0.1175
103818,,Completed,10.0,Employed,10250.0,469.98,15000,0.19,0.01
103822,,Completed,8.0,Employed,11666.666667,223.28,2500,0.06,0.0595
103823,HR,Completed,,Not available,1833.3333329999998,46.45,1200,0.03,
103826,C,Completed,,Full-time,1166.666667,32.48,1000,0.18,
103827,,Chargedoff,6.0,Not employed,0.0,455.06,12000,,0.089
103828,D,Completed,,Not available,6837.0,298.06,7700,0.12,
103829,,Completed,7.0,Full-time,6250.0,616.41,15000,0.17,0.108
103830,,Completed,7.0,Employed,4166.666667,276.93,3000,0.09,0.1075
103831,,Completed,8.0,Employed,2408.833333,360.65,11000,0.37,0.02
103833,,Completed,10.0,Employed,7000.0,80.66,2500,0.04,0.038
103840,,Completed,8.0,Employed,3333.333333,172.08,5000,0.07,0.0565
103842,,Completed,5.0,Employed,4583.333333,164.13,4500,0.32,0.0699
103845,,Completed,7.0,Employed,9166.666667,380.16,4000,0.08,0.112
103848,,Completed,6.0,Employed,3583.333333,172.08,5000,0.09,0.042
103849,AA,Completed,,Full-time,4583.333333,121.51,4000,0.04,
103853,C,Chargedoff,,Full-time,4000.0,123.05,3500,0.09,
103855,,Completed,5.0,Employed,1250.0,130.01,4000,0.16,0.0274
103856,,Completed,10.0,Employed,7250.0,466.52,15000,0.08,0.0099
103859,A,Chargedoff,,Not available,3833.333333,32.03,1000,0.29,
103860,,Completed,6.0,Self-employed,2666.666667,59.64,1500,,0.14
103861,AA,Completed,,Not available,7500.0,228.76,7000,0.18,
103864,,Chargedoff,8.0,Employed,3500.0,234.96,6500,0.19,0.0595
103867,,Completed,5.0,Self-employed,3500.0,322.28,8000,,0.112
103871,HR,Completed,,Full-time,5166.666667,90.47,2000,0.17,
103876,,Completed,3.0,Employed,5416.666667,400.95,10500,0.13,0.0925
103877,C,Completed,,Full-time,3083.333333,104.76,2600,0.24,
103879,,Completed,4.0,Self-employed,3583.333333,246.06,7000,,0.0549
103880,,Completed,5.0,Self-employed,3500.0,159.27,4000,,0.112
103881,,Completed,4.0,Employed,3000.0,173.71,4000,0.16,0.1675
103883,A,Completed,,Not available,7750.0,432.44,13500,0.16,
103886,HR,Completed,,Full-time,6333.333333,122.43,4500,0.12,
103887,B,Chargedoff,,Full-time,3166.666667,222.79,6500,0.23,
103890,,Completed,9.0,Full-time,4416.666667,258.89,8000,0.24,0.021
103894,,Completed,7.0,Employed,6166.666667,204.1,5000,0.1,0.112
103897,,Completed,5.0,Employed,3583.333333,200.76,5000,0.25,0.105
103899,,Completed,3.0,Full-time,6000.0,163.4,3800,0.11,0.25
103900,,Completed,6.0,Employed,4166.666667,142.02,4500,0.21,0.119
103901,AA,Completed,,Full-time,8333.333333,31.4,1000,0.17,
103902,B,Completed,,Full-time,6250.0,493.81,15000,0.19,
103904,B,Completed,,Not available,7833.333333,205.07,6000,0.43,
103912,A,Completed,,,4000.0,95.43,3001,0.15778,
103913,E,Completed,,Not available,3000.0,209.53,5000,0.08,
103914,,Completed,6.0,Employed,9666.666667,572.78,15000,0.13,0.0925
103915,,Chargedoff,9.0,Employed,11250.0,552.2,25000,0.19,0.0324
103918,,Completed,5.0,Employed,6666.666667,188.5,7500,0.35,0.0449
103919,,Completed,5.0,Employed,2916.666667,596.32,15000,0.32,0.119
103920,,Chargedoff,7.0,Employed,7083.333333,204.1,5000,0.12,0.112
103921,,Completed,8.0,Employed,5666.666667,356.44,11000,0.17,0.026
103923,E,Completed,,Full-time,2166.666667,126.66,2800,0.24,
103926,,Completed,4.0,Full-time,1583.333333,46.59,1200,0.22,0.18
103928,,Completed,3.0,Employed,2916.666667,86.85,2000,0.4,0.165
103933,B,Completed,,Full-time,3333.333333,523.4,15000,0.39,
103934,C,Completed,,Not available,16666.666666999998,366.71,15000,0.17,
103939,HR,Chargedoff,,Not available,3541.666667,55.33,1500,0.14,
103944,,Completed,7.0,Self-employed,0.083333,524.32,15000,,0.052
103949,AA,Completed,,Full-time,8333.333333,439.59,13000,0.13,
103956,,Chargedoff,5.0,Employed,2083.333333,174.2,4000,0.1,0.183
103958,B,Completed,,Part-time,825.75,95.97,2800,0.12,
103962,,Completed,6.0,Full-time,3291.666667,0.0,3000,0.18,0.14
103963,C,Completed,,,2700.0,137.68,4000,0.13,
103965,E,Completed,,Not available,2000.0,12.42,2500,0.2,
103967,,Chargedoff,6.0,Employed,2145.833333,88.0,2000,0.3,0.142
103968,E,Completed,,Not available,3083.333333,285.78,7000,0.16,
103969,AA,Completed,,Full-time,2000.0,156.38,5000,0.3,
103971,E,Chargedoff,,Not available,3581.25,82.94,2200,0.37,
103972,,Chargedoff,6.0,Employed,675.0,398.16,15000,1.32,0.052
103976,B,Completed,,Full-time,5000.0,2.79,5000,0.14,
103977,,Completed,6.0,Employed,5951.333333,142.87,3500,0.16,0.112
103978,,Completed,6.0,Employed,5833.333333,261.29,6000,0.13,0.147
103980,E,Chargedoff,,Full-time,3833.333333,161.16,4000,0.16,
103981,AA,Completed,,Full-time,1754.0,219.35,7000,0.39,
103982,,Completed,8.0,Employed,10000.0,316.34,7500,0.08,0.108
103983,,Completed,8.0,Employed,5833.333333,154.87,4500,0.13,0.0595
103984,D,Completed,,Not available,3750.0,198.8,5000,0.16,
103988,,Completed,7.0,Employed,8166.666667,184.31,2000,0.03,0.107
103989,D,Chargedoff,,Full-time,4416.666667,177.99,5000,0.2,
103990,,Completed,5.0,Employed,5166.666667,173.71,4000,0.34,0.1725
103992,,Chargedoff,9.0,Full-time,3333.333333,74.23,2000,,0.065
103993,HR,Chargedoff,,Not available,2916.666667,86.66,2500,0.13,
104002,,Completed,9.0,Full-time,13333.333333,74.38,2000,0.27,0.065
104003,D,Completed,,Full-time,4166.666667,62.65,1500,0.15,
104007,C,Completed,,Not available,3833.333333,275.37,8000,0.16,
104008,,Completed,9.0,Employed,6250.0,482.18,15000,0.3,0.0249
104009,AA,Completed,,Full-time,33333.333332999995,94.01,3000,0.09,
104012,,Completed,4.0,Full-time,5250.0,90.47,2000,0.31,0.18
104013,,Chargedoff,1.0,Self-employed,18750.0,314.25,7500,,0.13
104014,D,Completed,,Not employed,875.0,60.61,1700,0.16,
104016,,Chargedoff,4.0,Full-time,4166.666667,224.05,4953,0.11,0.18
104020,,Completed,3.0,Employed,3333.333333,168.32,4000,0.42,0.1425
104025,,Chargedoff,4.0,Full-time,5000.0,135.62,3000,0.21,0.18
104027,A,Chargedoff,,Self-employed,7033.333333,827.38,25000,0.16,
104030,,Completed,8.0,Employed,7916.666667,113.66,5000,0.21,0.02
104031,C,Completed,,Full-time,7183.333333,172.96,5000,0.15,
104032,D,Completed,,Full-time,1512.583333,289.22,8000,0.23,
104034,D,Chargedoff,,Full-time,4833.333333,113.09,2500,0.63,
104035,E,Chargedoff,,Full-time,3958.333333,67.85,1500,0.38,
104037,A,Completed,,Full-time,5000.0,95.84,2500,0.3,
104038,,Chargedoff,6.0,Employed,6250.0,397.55,10000,0.39,0.119
104041,,Completed,8.0,Full-time,3916.666667,0.0,2000,0.15,0.098
104042,,Completed,4.0,Full-time,7218.75,394.39,9000,0.17,0.18
104043,,Completed,6.0,Employed,2833.333333,135.71,4300,0.07,0.119
104044,HR,Completed,,Full-time,1000.0,117.6,2600,0.21,
104048,D,Chargedoff,,,3583.333333,129.36,3500,0.04,
104050,C,Completed,,Full-time,5000.0,567.05,15000,0.33,
104051,E,Completed,,Full-time,2916.666667,44.11,1000,0.19,
104052,HR,Completed,,Full-time,5833.333333,81.34,2250,0.1,
104058,E,Completed,,Not available,4166.666667,59.66,2550,0.41,
104059,AA,Completed,,Retired,3083.333333,125.35,4000,0.14,
104061,,Completed,5.0,Full-time,7750.0,129.0,3000,0.23,0.183
104065,A,Chargedoff,,Self-employed,15416.666667,519.98,15000,0.13,
104067,B,Completed,,Full-time,3250.0,169.68,5000,0.33,
104068,,Completed,6.0,Full-time,3500.0,516.24,15000,0.3,0.052
104070,B,Chargedoff,,Full-time,13750.0,512.66,15000,0.26,
104071,D,Completed,,Full-time,4750.0,101.64,3000,0.13,
104074,A,Completed,,,12500.0,520.94,16000,0.09256,
104077,B,Completed,,Full-time,6000.0,228.03,7000,0.06,
104078,,Completed,7.0,Employed,8500.0,408.58,12500,0.12,0.0299
104080,C,Chargedoff,,Full-time,5166.666667,648.4,17500,0.47,
104082,HR,Completed,,Not available,4333.333333,41.91,1000,0.1,
104084,,Chargedoff,9.0,Employed,7083.333333,315.26,14099,0.09,0.0274
104088,,Chargedoff,3.0,Employed,5000.0,173.71,4000,0.52,0.1725
104089,B,Completed,,Full-time,3333.333333,165.09,5000,0.12,
104090,,Completed,5.0,Employed,2250.0,132.54,3700,0.25,0.0624
104094,HR,Chargedoff,,Full-time,6666.666667,125.72,3000,0.14,
104095,D,Completed,,,5000.0,74.33,2000,0.2047,
104096,A,Completed,,Full-time,3361.083333,47.0,1500,0.19,
104097,AA,Completed,,Full-time,10833.333333,311.06,10000,0.19,
104099,,Completed,5.0,Employed,4125.0,1382.13,15000,0.38,0.118
104102,A,Completed,,Full-time,2316.666667,96.03,3000,0.09,
104103,D,Chargedoff,,Full-time,2603.583333,179.49,4967,0.18,
104106,B,Completed,,Full-time,4375.0,63.6,2000,0.12,
104108,,Chargedoff,8.0,Full-time,3000.0,120.87,3000,0.27,0.1
104111,,Completed,6.0,Employed,4500.0,425.21,12000,0.34,0.052
104112,D,Completed,,Not available,3000.0,180.47,4600,0.5,
104118,,Completed,9.0,Self-employed,6666.666667,83.05,2500,,0.021
104120,A,Completed,,Not employed,833.333333,47.7,1500,0.08,
104121,,Completed,9.0,Full-time,6241.666667,186.07,5000,0.21,0.065
104122,,Chargedoff,1.0,Employed,2083.333333,130.28,3000,0.4,0.165
104123,,Completed,1.0,Employed,4375.0,169.78,4000,0.37,0.149
104125,,Completed,3.0,Full-time,4416.666667,153.8,3400,0.57,0.24
104129,,Completed,7.0,Part-time,83.333333,141.48,3500,,0.1
104130,B,Completed,,Not available,4125.0,201.91,6001,0.22,
104131,D,Chargedoff,,Full-time,4166.666667,152.55,4000,0.2,
104137,,Completed,8.0,Full-time,2333.333333,35.4,1000,0.21,0.147
104147,,Completed,6.0,Employed,5416.666667,168.89,4000,0.18,0.147
104148,,Chargedoff,8.0,Full-time,4500.0,123.28,3000,0.08,0.108
104150,C,Completed,,Full-time,5666.666667,99.64,3000,0.18,
104153,D,Completed,,Full-time,27083.333333,226.18,5000,0.04,
104154,,Completed,1.0,Employed,7333.333333,169.78,4000,0.34,0.149
104160,B,Chargedoff,,Full-time,2500.0,230.1,6500,0.13,
104162,HR,Completed,,,833.333333,105.82,2550,0.37,
104163,A,Completed,,Full-time,5325.0,505.41,15000,0.43,
104167,AA,Completed,,Full-time,12500.0,30.65,1000,0.03,
104168,B,Chargedoff,,Full-time,0.083333,882.91,24500,10.01,
104170,,Chargedoff,5.0,Employed,5833.333333,326.62,7500,0.27,0.147
104171,C,Completed,,Full-time,2528.416667,208.41,7000,0.31,
104176,,Completed,9.0,Full-time,8590.75,280.08,8750,0.16,0.015
104177,,Chargedoff,2.0,Self-employed,5000.0,86.85,2000,,0.165
104179,C,Chargedoff,,Full-time,2916.666667,98.44,2800,0.31,
104180,HR,Chargedoff,,Full-time,2400.0,123.26,3100,0.05,
104185,D,Completed,,Not available,4567.0,202.54,5450,0.32,
104186,,Chargedoff,5.0,Employed,3596.666667,173.71,4000,0.18,0.1625
104187,B,Completed,,Full-time,2500.0,252.6,7500,0.18,
104192,,Completed,8.0,Full-time,2380.0,55.75,1500,0.02,0.098
104194,C,Completed,,Full-time,4029.666667,101.97,3000,0.35,
104196,C,Completed,,Full-time,3520.0,56.55,1250,,
104198,,Completed,5.0,Employed,4506.666667,137.3,3500,0.38,0.1
104200,A,Completed,,Part-time,1462.5,56.82,1786,0.08,
104201,,Completed,6.0,Employed,7500.0,365.28,13000,0.22,0.0874
104204,HR,Chargedoff,,Full-time,3291.666667,98.68,2551,0.03,
104206,AA,Completed,,,16666.666666999998,308.77,10000,0.07487,
104209,,Completed,4.0,Employed,2833.333333,173.71,4000,0.43,0.165
104211,B,Chargedoff,,Self-employed,0.0,138.66,4000,,
104212,,Completed,1.0,Self-employed,16520.0,339.27,7500,,0.345
104213,B,Completed,,Part-time,5416.666667,98.22,3000,0.03,
104220,,Completed,5.0,Employed,3500.0,67.39,2000,0.23,0.098
104221,D,Chargedoff,,Full-time,4166.666667,46.02,1278,0.4,
104222,,Completed,2.0,Employed,17000.0,161.99,4000,0.23,0.1225
104225,A,Completed,,Full-time,4166.666667,74.33,2000,0.5,
104228,C,Completed,,Full-time,3000.0,198.4,5500,0.28,
104229,,Completed,6.0,Employed,5833.333333,199.32,5775,0.37,0.042
104231,AA,Completed,,Not available,7500.0,95.19,3000,0.06,
104232,,Completed,9.0,Employed,5000.0,0.0,5000,0.16,0.0149
104234,,Chargedoff,7.0,Employed,7083.333333,350.49,8700,0.16,0.108
104239,,Chargedoff,5.0,Employed,10416.666667,736.28,21500,0.22,0.0449
104242,D,Completed,,Not available,3750.0,0.0,3100,0.18,
104248,B,Completed,,,11416.666667,32.27,1000,0.1,
104250,C,Chargedoff,,Self-employed,7083.333333,413.64,10000,0.06,
104253,,Completed,9.0,Full-time,10916.666667,175.17,2000,0.04,0.02
104256,HR,Completed,,Full-time,4166.666667,124.09,3000,0.26,
104260,,Completed,8.0,Part-time,2916.666667,111.63,3500,,0.021
104266,D,Completed,,Full-time,3333.333333,37.21,1030,0.11,
104268,AA,Completed,,Not available,5083.333333,497.5,15000,0.27,
104270,C,Chargedoff,,Full-time,9250.0,237.61,6000,0.12,
104271,C,Chargedoff,,Self-employed,3916.666667,119.62,3500,0.31,
104272,,Chargedoff,4.0,Employed,3719.166667,151.99,3500,0.28,0.1625
104273,,Completed,9.0,Self-employed,4166.666667,131.71,4000,,0.021
104278,AA,Completed,,Full-time,7500.0,388.05,12000,0.06,
104279,C,Completed,,Full-time,3380.0,182.65,5000,0.06,
104280,AA,Completed,,Full-time,7500.0,311.98,10000,0.09,
104282,HR,Completed,,Not available,533.333333,35.65,1000,0.32,
104284,,Chargedoff,6.0,Employed,3333.333333,173.71,4000,0.43,0.1625
104285,C,Completed,,Full-time,9333.333333,167.27,5000,0.06,
104286,B,Completed,,Full-time,2875.0,101.37,3000,0.91,
104288,,Completed,5.0,Employed,2513.333333,157.8,5000,0.31,0.119
104296,,Completed,4.0,Not employed,0.0,173.71,4000,,0.1625
104299,B,Chargedoff,,Full-time,13583.333333,239.16,6899,0.08,
104300,,Chargedoff,6.0,Employed,6250.0,523.71,13000,0.26,0.108
104303,D,Completed,,Full-time,3583.333333,209.46,6000,0.4,
104305,A,Completed,,Full-time,3158.333333,78.92,2500,0.26,
104311,C,Completed,,Not available,2500.0,342.99,10000,0.61,
104312,B,Completed,,Full-time,6250.0,163.88,5000,0.26,
104317,C,Chargedoff,,Full-time,12750.0,101.08,3000,0.02,
104319,AA,Completed,,Not available,5833.333333,158.88,5000,0.23,
104322,,Chargedoff,4.0,Employed,2916.666667,130.28,3000,0.66,0.1725
104323,,Completed,10.0,Employed,12500.0,469.98,15000,0.05,0.01
104324,,Completed,3.0,Self-employed,4166.666667,173.71,4000,,0.165
104330,C,Completed,,Full-time,5000.0,353.05,10000,0.34,
104331,E,Completed,,Not available,1500.0,81.89,2100,0.27,
104332,,Completed,3.0,Full-time,2250.0,85.99,2000,0.15,0.13
104339,,Completed,8.0,Full-time,5916.666667,464.34,14500,0.3,0.015
104343,,Chargedoff,10.0,Other,9166.666667,779.38,25000,0.13,0.013
104344,,Completed,4.0,Self-employed,7083.333333,326.62,7500,,0.147
104346,,Completed,8.0,Retired,2291.666667,57.29,1500,0.22,0.1
104348,C,Completed,,Full-time,7083.333333,142.89,3500,0.19,
104349,,Completed,7.0,Full-time,11666.666667,149.28,3300,0.05,0.147
104350,,Completed,8.0,Full-time,4333.333333,90.32,2700,0.2,0.05
104351,,Chargedoff,3.0,Employed,6416.666667,173.71,4000,0.55,0.1675
104352,,Chargedoff,5.0,Employed,4766.666667,320.77,7500,0.54,0.147
104353,D,Completed,,Full-time,8333.333333,108.37,3000,0.12,
104355,,Completed,5.0,Self-employed,2916.666667,390.0,13000,,0.099
104363,D,Completed,,Full-time,3629.583333,229.24,5400,0.5,
104364,B,Completed,,Full-time,2300.0,235.86,7000,0.19,
104366,,Completed,6.0,Employed,5000.0,241.41,5992,0.29,0.108
104367,D,Completed,,Full-time,2771.5,222.41,6001,0.08,
104369,D,Completed,,Full-time,5145.583333,37.16,1000,0.08,
104371,,Completed,7.0,Full-time,6166.666667,325.96,8000,0.2,0.1
104373,,Chargedoff,3.0,Employed,5333.333333,215.46,5500,0.22,0.1075
104377,AA,Completed,,Full-time,9583.333333,664.29,20000,0.34,
104381,,Completed,5.0,Employed,6000.0,142.87,3500,0.2,0.112
104382,,Completed,3.0,Retired,666.666667,108.57,2400,0.55,0.18
104383,,Chargedoff,5.0,Not employed,0.0,79.64,2000,,0.112
104384,,Chargedoff,5.0,Other,1833.3333329999998,172.6,4000,0.86,0.165
104387,E,Completed,,Full-time,5083.333333,89.34,2000,0.14,
104389,,Completed,5.0,Employed,15000.0,173.71,4000,0.21,0.1625
104390,,Chargedoff,6.0,Employed,3333.333333,175.27,4500,0.22,0.1025
104391,HR,Chargedoff,,Not available,3333.333333,91.64,2500,0.19,
104394,B,Completed,,Full-time,6416.666667,356.16,9500,0.44,
104398,,Completed,8.0,Full-time,10416.666667,390.03,12000,0.22,0.015
104399,,Completed,9.0,Full-time,8833.333333,194.73,6000,0.26,0.021
104400,,Completed,5.0,Employed,3833.333333,242.72,9000,0.52,0.0925
104401,HR,Completed,,,7395.25,0.0,2501,0.05,
104403,HR,Chargedoff,,Full-time,6333.333333,80.29,1775,0.03,
104404,,Completed,8.0,Full-time,2550.0,113.43,3500,0.09,0.021
104405,AA,Completed,,Full-time,6666.666667,348.26,11000,0.12,
104406,,Completed,8.0,Full-time,3791.666667,81.01,2000,0.29,0.1
104407,,Completed,9.0,Employed,8333.333333,128.39,4000,0.13,0.02
104409,,Completed,9.0,Full-time,3083.333333,162.16,5000,0.06,0.021
104413,,Completed,10.0,Employed,5833.333333,252.61,12000,0.07,0.0155
104414,,Completed,7.0,Employed,5166.666667,0.0,2400,0.08,0.088
104417,AA,Completed,,Full-time,2945.0,320.2,10000,0.27,
104419,AA,Completed,,Not available,18333.333333000002,93.51,3000,0.06,
104420,C,Chargedoff,,Full-time,7000.0,131.34,3500,0.05,
104421,A,Completed,,Full-time,3666.666667,335.5,10000,0.31,
104422,,Chargedoff,3.0,Other,2000.0,173.71,4000,0.5,0.165
104432,AA,Completed,,Part-time,3000.0,43.76,1400,0.33,
104433,,Completed,8.0,Employed,9583.333333,1157.83,13000,0.21,0.0574
